datetime,open,high,low,close,volume,prev,sub,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16,top_17,top_18,top_19,top_20
2020-10-0812:05,59700,59700,59600,59600,5289,-100,,-0.002914383875048339,0.001998818310046076,-0.007203166116374989,0.004639715899892956,-0.0007985281723018959,0.0011128571383181942,0.007079863757872567,0.003976718864744622,-0.0037271351227702886,-0.006865806571203718,-0.0005633820835503413,-0.000427228994652697,-0.005940972170194445,-0.0014277845085690355,-0.002632130759599351,0.009231025282124074,0.006543310270194006,0.004062004898148158,-0.003072892824008509,-0.0030709032230670343
2020-10-0810:31,59600,59700,59600,59700,40797,100,,-0.001992080734477284,0.0003083979683167368,-0.003866500901784796,0.004757721831301595,0.0004886938581532492,0.006480246701877886,0.0009782642949762903,0.004999625303890481,-0.00010978540308289491,-0.007107128527582972,-0.0036982067652599664,-0.0006821508849326561,-0.008418684913438515,-0.00017189942907358608,-0.003594866951884899,-0.0031062245047756803,-0.004350321567513324,0.009597388001122416,0.005374391721147997,0.004113120903019922
2020-10-0809:57,60100,60100,60000,60000,45585,-100,,-0.001992080734477177,0.0003083979683167028,-0.00386650090178451,0.000488693858153368,0.004757721831301539,0.006480246701877817,0.000978264294976279,-0.00010978540308281872,0.004999625303890576,-0.00710712852758303,-0.003698206765259939,-0.0006821508849326566,-0.008418684913438602,-0.00017189942907354909,-0.0035948669518849055,-0.004350321567513483,-0.0031062245047757224,0.009597388001122434,0.005374391721147871,0.004113120903019801
2020-10-0809:08,60400,60400,60200,60200,251471,-200,,-0.0021363470238906254,0.0028037002678065618,-0.0044544449164047924,-0.0006069863079240051,0.003713422958822695,0.0058348289307756165,-0.0008452690707975317,0.0010594429600032,0.005157325184379949,-0.006496200371014274,-0.004515184906554178,-0.0012076784956333003,-0.00800642339466021,-0.0038610557663096476,-0.0001371040576227216,-0.003766901439938494,-0.002579354029732752,0.009440642602095348,0.006947001164997753,0.003656585711601409
2020-10-0612:31,59200,59400,59200,59300,117843,100,,0.0002726631783145682,0.0007504424940128993,0.002031708963368187,0.003168279125076838,0.004233764354996932,0.0039979914450142175,0.001801812691310049,0.001379403091357534,0.006415868310548307,-0.008471235816649282,-0.000559846804466195,-0.002963465104177765,-0.0025382455165912526,-0.008971386731349671,0.001169017199057271,-0.0068630615031551,0.0001747888396467806,-0.0029450736107541195,-0.0017766614429939793,0.009693236837433774
2020-09-2212:09,58500,58500,58400,58400,5730,-100,,-0.0001444339409052064,-0.003724344931701804,0.003450113679707888,0.0034058375254671404,0.005153002851564294,0.0031160627246597213,0.005219522297107819,0.0018094833360667803,0.00803663724594098,-0.005783089503070626,0.0009126804729179734,-0.0029789744062821634,-0.003317462993906938,-0.007960943360759571,0.00280984096701254,-0.006954140887901647,0.0023129685598216932,-0.006254833285815468,-0.0025170384986790088,0.0034091121487556
2020-09-1610:08,60600,60800,60600,60800,147816,200,,-0.0005942787631996382,0.0049842410162304895,-0.00626330613812938,-0.003961966974831195,-0.003756766635721748,-0.0026626283989907087,-0.0056319863835145876,-0.0017167955217468527,-0.007190705756091147,0.005573018237508338,-0.0009408407205626914,0.0022034515026431206,0.0027606453020872796,0.007438806699603343,-0.0025504859444138907,0.00809928525343738,-0.002828690124664503,-0.0007200852237120437,0.005609429508686064,0.0021496590653823705
2020-09-0810:46,58100,58200,58100,58200,13175,100,,0.0035958858967844844,-0.0040831941831434475,0.013177307595442864,0.0014865768465432978,-0.005264940733593019,-0.005377121986299354,0.0011775699469168811,-0.00015234174783126912,-0.0020157322474978513,0.001257128253281658,0.00037165874823418606,0.002867203127003818,0.002937294483297799,0.0017933893526713637,-0.008564788997934706,-0.0014726835731755366,-0.002378270046733872,0.0027248444835156795,0.002036946203857102,-0.004116731421340077
2020-09-0714:02,56500,56500,56400,56400,16808,-100,,-0.0005432384858193732,0.00513707161701086,-0.005847828993801722,-0.0035270421666221095,-0.004025504820272736,-0.0024927754887826676,-0.0050926973450593745,-0.0011067921175571135,-0.007047935786487552,0.005638177043308699,0.006216834342830356,-0.0006094894047674493,0.0025693081786550636,0.0030272479974475614,0.007603884007704905,-0.002552868648953738,-0.0009654349184315226,-0.002070731612526452,0.008314211412860933,-0.0026243948107365555
2020-09-0414:56,55600,55600,55500,55600,21413,0,,-0.0005432384858189651,0.005137071617010263,-0.005847828993800371,-0.0035270421666218953,-0.0024927754887830653,-0.004025504820273398,-0.005092697345059252,-0.001106792117557226,-0.0070479357864880994,0.0056381770433088655,0.00621683434283069,-0.000609489404767422,0.00256930817865546,0.0030272479974478936,0.007603884007705302,-0.00255286864895346,-0.0009654349184327616,-0.0020707316125266576,0.008314211412860527,-0.0026243948107364233
2020-09-0310:45,56400,56400,56300,56400,22338,0,,0.003160687608224358,-0.002723074940562963,0.01148706086965534,-0.00029330865440021733,0.0037103626818152137,-0.0047720677807852165,0.0030120458890862028,-0.0007649008680990122,0.0016906488314574436,-0.000656857934701962,-0.004024862350050429,-0.0007565654451383912,0.0019208814315029334,0.0042281815200919904,-0.010028440901377349,0.0008163753958210359,0.00019988546136131814,0.0008242928577940756,-0.008140982417618096,0.0011106387459237372
2020-09-0210:46,54800,54800,54700,54700,40212,-100,,0.0031606876082243044,-0.002723074940562996,0.01148706086965532,-0.0002933086544000878,0.0037103626818152584,-0.004772067780785104,0.0030120458890863107,-0.0007649008680989684,0.0016906488314576494,-0.0006568579347019762,-0.004024862350050596,0.0019208814315028347,-0.0007565654451385614,-0.008140982417617957,0.004228181520091955,-0.010028440901377462,0.0008163753958211159,0.00019988546136112627,0.0008242928577940827,0.0011106387459237654
2020-09-0111:58,54500,54500,54400,54500,5656,0,,0.0031606876082243152,-0.002723074940563005,0.011487060869655348,-0.0002933086544001443,0.0037103626818152423,-0.004772067780785152,0.003012045889086268,-0.0007649008680989829,-0.008140982417618013,0.0016906488314575566,-0.0006568579347019616,-0.004024862350050526,0.0019208814315028822,-0.0007565654451384754,0.00422818152009197,-0.010028440901377425,0.0011106387459237383,0.0008163753958210773,0.00019988546136120536,0.0008242928577940945
2020-08-3114:33,54200,54300,54200,54300,14671,100,,0.003160687608224333,-0.00272307494056299,0.011487060869655355,-0.00029330865440020714,0.003710362681815205,-0.0047720677807852495,0.0030120458890862054,-0.0007649008680989851,-0.008140982417618115,0.0016906488314574078,-0.0006568579347019834,-0.004024862350050414,0.0019208814315029416,-0.0007565654451383404,0.0008163753958210327,0.004228181520092004,-0.01002844090137735,0.0011106387459237246,0.00019988546136133132,0.0008242928577940943
2020-08-2713:56,55700,55800,55700,55800,10026,100,,0.0032334709912057846,-0.002271555709234516,0.01133372743172564,2.4675031509543876e-05,0.004052330046368572,-0.004601720942980656,0.0031914032227311154,-0.0006415349352010652,-0.004448772011486202,-0.007812481012900059,0.002155845706313374,-0.000702212550741419,0.0017192907371870079,-0.0009223719551487852,0.0010853922278209228,-0.0004424951178188103,0.004208537982541131,-0.01020240831602532,0.0011666384800463993,-0.00012575930591263127
2020-08-2710:45,55700,55700,55600,55700,12272,0,,0.0032196083063470125,-0.0032991351661395135,-0.0021134587917439602,0.00473995964972209,0.010605608762307959,0.0017344114522128314,0.00430798066461674,-0.0052764077576065715,1.9093072358671116e-05,-0.00018902872253205043,-0.005771828255828241,0.0039001388123897657,0.0006032703556332135,-0.002024637579068097,0.0014578304233007452,-0.000748914738034391,0.002662118293151924,-0.006676849317452744,-0.009799610815179867,0.002649851351544501
2020-08-2615:04,56300,56300,56200,56200,18841,-100,,0.0027236510143990337,-0.0021962554675060116,-0.006913275505922605,9.301698260016015e-05,0.012022628253863367,-0.0034089610558781396,0.0012839472356679274,-0.001524512884140749,0.0021965351339621186,0.0026591435266893632,0.0010855884980562661,-0.00873719171563558,-0.0016055801626236408,-9.136632349048529e-05,0.0037927181265719153,0.0014963393132947887,0.003518745610958734,0.003115927135195229,-0.0026521584670065163,-0.006858939249055153
2020-08-2510:10,56200,56200,56100,56200,21705,0,,0.0028947392852744715,-0.003867950567294801,-0.00511539291914463,0.001920280999914662,-0.0033693398939652988,0.013124074942580981,0.0006594897800674746,-0.0010467079380743238,7.818469433418323e-05,0.002800547276255452,-0.0001756819390700119,0.0017049768261553203,-0.009662870634743293,-0.002692745629082762,0.0027176222607534404,-0.001065829562805769,0.003793086957805857,0.0010663163892575779,-0.004811488031048087,0.0010486877028295333
2020-08-2509:51,56200,56300,56100,56300,92010,100,,0.0028947392852744936,-0.003867950567294836,-0.0051153929191446006,0.0019202809999146974,-0.0033693398939652515,0.013124074942580987,0.0006594897800675082,-0.0010467079380743103,7.818469433414284e-05,0.002800547276255419,-0.00017568193907003879,0.003793086957805834,0.0017049768261552982,-0.009662870634743312,-0.002692745629082737,0.002717622260753418,-0.001065829562805763,0.0010663163892575705,-0.0048114880310481285,0.0010486877028295794
2020-08-2110:18,56400,56400,56200,56200,55195,-200,,0.003089889018806704,-0.0030655184208174097,-0.0024763888519030103,0.004699464893386453,0.0011430245692843751,0.011404291742487884,0.004297014127032624,-0.00013502927253869774,-0.00485688069612442,-0.0005378327780763914,0.0005472394053331816,0.00034676051784735836,-0.0016081799332475042,-0.005785666847067769,0.003950574023901781,0.0009770800260684458,0.0014335423507242863,0.0026719259321957636,-0.006311918001370068,-0.009783391805923563
2020-08-2110:14,56200,56200,56100,56200,13966,0,,0.0030898890188067094,-0.003065518420817406,0.001143024569284382,-0.0024763888519030164,0.004699464893386455,0.01140429174248789,0.004297014127032629,-0.00013502927253868853,-0.0005378327780763932,-0.004856880696124424,0.0003467605178473501,0.003950574023901782,0.0005472394053331807,-0.001608179933247516,-0.005785666847067775,0.0009770800260684425,0.0014335423507242924,0.002671925932195773,-0.006311918001370074,-0.009783391805923566
2020-08-2110:13,56200,56200,56100,56200,18207,0,,0.0030898890188067133,-0.003065518420817417,0.0011430245692843732,-0.0024763888519030125,0.004699464893386444,0.011404291742487879,0.004297014127032632,-0.0005378327780763965,-0.00013502927253868931,0.00034676051784735066,-0.0048568806961244125,0.003950574023901774,-0.0016081799332475124,0.0005472394053331788,0.0014335423507242945,-0.005785666847067776,0.0009770800260684438,0.002671925932195772,-0.006311918001370064,-0.00978339180592355
2020-08-2110:06,56300,56400,56200,56400,50032,100,,0.0027236510143990172,-0.0021962554675060385,-0.0034089610558781457,-0.006913275505922606,9.301698260017215e-05,0.012022628253863377,0.002659143526689379,0.0035187456109587534,0.0012839472356679232,-0.001524512884140754,0.0021965351339621074,-0.0016055801626236694,-9.13663234904357e-05,0.00108558849805627,0.001496339313294766,-0.0087371917156356,0.0037927181265719105,0.0031159271351952093,-0.006858939249055109,-0.0026521584670065146
2020-08-1009:19,58200,58300,58100,58300,109306,100,,0.0031793118321242946,-0.001571836997651,-0.0008683651620659858,-0.0061020599322568515,0.0022240922018909263,0.011518275258712758,0.00043005024547733965,0.0008507453737765425,0.003208213192477015,-0.0010877158944579406,-0.007686922388671648,-0.0015509029242214054,0.0019260392807065167,-0.00814879177798474,-0.0016307979446468664,0.0006287290251171127,0.0025643149021692562,0.003046272219801682,0.005066999569752972,-0.00599565008004996
2020-08-0709:35,57900,58000,57800,58000,88476,100,,0.003228765565415467,-0.002159182588723066,-0.0007839657207661217,-0.0036889201096530315,0.0027473213882187784,0.012049406182864857,0.0001285444518587209,-0.0006952593566550643,0.003269857018560839,-0.0011134312816508337,-0.00776770119426651,-0.004249959866013385,0.0009434853724219957,-0.00963284759324273,-0.00024985616717335097,5.3616085711459824e-05,0.0006222888191514113,-0.0019126620417806081,0.00347414135190464,0.005736359683816545
2020-08-0611:51,57500,57600,57500,57500,15122,0,,-0.003174793789781937,0.00015881372537726859,9.834393348594645e-06,0.0023526701954371615,-0.005496184889818558,-0.010047636459625607,0.001463210116234717,0.0018845791922506173,-0.003750684077590803,0.0028826752135937056,0.000890091671735205,0.0038449720089404325,0.006244879790028996,-0.00618938766126718,0.0031437450909078146,0.010672436905344232,6.280955857747999e-05,-0.00211186744552197,0.00021594661729167793,-0.0030561101554618404
2020-08-0411:57,57400,57400,57300,57300,8222,-100,,-0.003174793789781938,0.0001588137253772669,9.834393348621159e-06,0.0023526701954372314,-0.005496184889818526,-0.010047636459625708,0.0014632101162346692,0.002882675213593781,0.001884579192250554,-0.0037506840775907873,0.0008900916717352373,-0.0030561101554618143,0.0038449720089404208,0.00624487979002895,-0.0061893876612671385,0.0031437450909077872,-0.0021118674455219903,0.010672436905344217,6.28095585775234e-05,0.00021594661729165216
2020-08-0311:34,57300,57300,57200,57300,8246,0,,-0.0031747937897822574,0.00015881372537755135,9.834393349235773e-06,0.0023526701954375132,-0.005496184889818409,-0.010047636459626818,0.0014632101162341355,0.0028826752135946167,0.001884579192249989,-0.0037506840775907643,0.0008900916717352203,-0.003056110155461107,0.0038449720089404897,0.006244879790028426,0.0031437450909073904,-0.006189387661266627,6.280955857779296e-05,-0.0021118674455219036,0.01067243690534393,0.0002159466172916015
2020-07-3011:34,59300,59300,59200,59300,5948,0,,0.003538162461930779,-0.0005102677371016097,-0.00044180464798636407,-0.0027512279361262683,0.005236055948326971,0.011002547943908062,-0.0009530655573677202,-0.003929261459378098,-0.0012652791219869295,0.003724248631831999,-0.0010218678485285713,0.002219961128520045,-0.003731797821015196,-0.005727131501783605,-0.010326568696130895,-0.002928815380480492,0.005522966646616182,-0.0008020637186399928,0.002181860417709959,0.0009633482476817631
2020-07-2810:38,58400,58500,58400,58400,136235,0,,0.0035381624619303833,-0.0005102677371012031,-0.00044180464798555444,0.005236055948327233,-0.002751227936125867,0.011002547943906663,-0.0009530655573684935,-0.003929261459376947,-0.0012652791219877808,0.003724248631832093,-0.0010218678485285691,0.002219961128521092,-0.010326568696131475,-0.00373179782101521,-0.00572713150178449,-0.002928815380481067,0.0021818604177100765,0.0009633482476816572,0.005522966646617011,-0.0008020637186395396
2020-07-2209:36,55200,55300,55100,55200,55281,0,,0.003538162461930475,-0.0005102677371013164,-0.0004418046479858094,0.005236055948327151,-0.002751227936125992,0.011002547943907105,-0.0009530655573682539,-0.003929261459377284,-0.0012652791219875134,0.003724248631832068,-0.0010218678485285665,0.0022199611285207794,-0.010326568696131301,-0.0037317978210152057,-0.005727131501784224,0.0021818604177100405,0.0009633482476816598,-0.002928815380480876,0.005522966646616757,-0.0008020637186396656
2020-07-2109:23,54800,55000,54800,55000,220164,200,,0.0035381624619313283,-0.0005102677371020874,-0.00044180464798746654,0.005236055948326601,-0.00275122793612682,0.011002547943909903,-0.0009530655573666888,-0.003929261459379617,-0.0012652791219857984,0.0037242486318318554,-0.0010218678485285886,0.00221996112851867,-0.01032656869613013,-0.0037317978210151927,0.00218186041770982,-0.005727131501782405,-0.0008020637186406241,0.0009633482476818862,-0.002928815380479731,0.005522966646615104
2020-07-1711:08,54400,54500,54400,54400,7057,0,,0.0035381624619310326,-0.0005102677371017952,-0.0004418046479868349,0.005236055948326818,-0.0027512279361265007,0.011002547943908848,-0.0009530655573672871,-0.003929261459378757,-0.0012652791219864422,0.0037242486318319256,-0.0010218678485285778,0.0022199611285194524,-0.010326568696130575,-0.0037317978210152022,0.002181860417709884,-0.0057271315017831115,0.0009633482476818181,-0.002928815380480142,-0.0008020637186402329,0.005522966646615689
2020-07-1610:28,54600,54600,54500,54500,3639,-100,,0.004247666644260615,-0.0033011255349577107,4.474279176132964e-05,0.004492606766445644,-0.002447756676233683,-0.0006269055889429648,0.013136612075549219,0.0010971723573680574,-0.0071100474127590695,0.0023903335273739402,0.0035949412389439284,-0.007122542960770515,-0.0009799772987002379,-0.0008971094738431688,-0.0031486047349568685,0.0032030380402865303,0.001350096434927798,-0.00029727572891829823,-0.0013684438598685867,-0.006257420606965964
2020-07-1414:27,53400,53500,53400,53500,10581,100,,0.0037769668565479156,-0.0007916154247221987,-0.005248242438810795,0.0030379235448810553,-0.003909602156486861,-0.0006034559098804902,0.01413402837446587,0.002626630217588377,-0.0074614583824181855,0.0034273889770525608,0.0022745880390321726,0.0006124627127814626,-0.004773809289315129,-0.001947466579197683,0.001872216357701018,-0.004655677328405829,-0.0012343436078897552,-0.0014898493537226867,0.0013687573773440596,-0.0010154419865448876
2020-07-1414:19,53400,53500,53400,53500,9890,100,,0.0037769668565478826,-0.0007916154247222028,-0.005248242438810822,0.0030379235448810852,-0.003909602156486808,-0.0006034559098804732,0.0026266302175883597,0.014134028374465864,-0.00746145838241812,0.0034273889770526614,0.0006124627127814428,0.0022745880390321175,-0.004773809289315154,-0.0019474665791976062,0.0018722163577010354,0.0013687573773442483,-0.0012343436078898296,-0.004655677328405939,-0.0014898493537227832,-0.0010154419865449661
2020-07-0911:20,53200,53300,53200,53200,4458,0,,0.0037769668565478796,-0.0007916154247222054,-0.005248242438810753,0.003427388977052681,-0.0006034559098804466,0.0030379235448811655,-0.003909602156486765,0.0026266302175882994,0.014134028374465842,-0.007461458382418092,0.0006124627127814423,0.002274588039032056,-0.004773809289315253,0.001368757377344342,-0.0019474665791975462,0.0018722163577010306,-0.0012343436078899488,-0.004655677328405959,-0.0014898493537227754,-0.0010154419865450008
2020-07-0810:16,53700,53700,53600,53600,9717,-100,,0.003776966856548001,-0.0007916154247223471,-0.005248242438810576,0.003427388977052377,-0.0006034559098804538,0.003037923544881219,-0.003909602156486779,0.0026266302175882777,0.014134028374465948,-0.0074614583824181985,-0.004655677328405794,0.0006124627127816472,0.0022745880390320867,-0.00477380928931542,0.0013687573773439848,-0.0019474665791976234,0.0018722163577008818,-0.001234343607889957,-0.0014898493537224876,-0.0010154419865447963
2020-07-0709:53,54600,54700,54600,54600,31200,0,,0.004189315196370357,-0.00300102076515057,-0.0012712775551155177,0.002403774073595708,8.737814019055785e-05,-0.00407641261735129,-0.0020363196948167484,0.002023061019897516,0.0125077001180711,-0.008096177716140672,0.0034586274042805545,-0.0021206070720141464,0.0018043998979456414,-0.004416109676452056,-0.006455745922775296,-0.002730700428678549,-0.0005142919616841863,-0.0006449403204354031,0.005729286796387387,0.0031600610838756053
2020-07-0610:43,54400,54500,54300,54300,35894,-100,,0.00418931519637036,-0.0030010207651505563,-0.0012712775551155472,0.002403774073595724,-0.004416109676452013,8.737814019055306e-05,-0.004076412617351295,-0.0020363196948167245,0.0020230610198975155,0.012507700118071122,-0.008096177716140681,0.0034586274042805462,-0.0021206070720141755,0.00180439989794564,-0.006455745922775308,-0.0027307004286785453,-0.0005142919616841764,-0.0006449403204354153,0.005729286796387378,0.003160061083875578
2020-07-0309:32,53000,53000,52900,52900,11443,-100,,0.004584879549894675,-0.0024706817389050497,-0.0015162496544345045,0.001964262716298919,-0.0011654341735130916,-0.004941372282296783,-0.002154024684522361,-0.0027435066100158006,0.0019338144677208127,0.01264283024042198,-0.006940158069640023,0.003529248721936681,-0.0014385313319595272,0.002932208499093221,0.0008014779916461815,-0.006794983384902901,-0.003209430176239641,-0.0006596304175742626,-0.0016875301803946031,0.007332810517386099
2020-07-0110:30,53200,53200,53000,53100,10898,-100,,0.004584879549894672,-0.0024706817389050536,-0.001516249654434514,-0.0011654341735131022,0.00196426271629891,-0.0049413722822967835,-0.002154024684522364,0.0019338144677208177,-0.0027435066100157976,-0.006940158069640016,0.012642830240421985,0.003529248721936678,-0.0014385313319595307,0.0008014779916461878,0.0029322084990932073,-0.0016875301803945982,-0.006794983384902895,-0.0006596304175742579,-0.003209430176239639,0.007332810517386099
2020-06-2515:13,52300,52300,52200,52200,21094,-100,,0.004584879549894671,-0.0024706817389050536,-0.0011654341735130816,-0.001516249654434506,0.0019642627162989217,-0.004941372282296784,-0.0021540246845223507,0.0019338144677208111,-0.002743506610015805,-0.006940158069639996,0.012642830240421971,0.003529248721936678,-0.0014385313319595287,0.0008014779916461743,0.002932208499093219,-0.0016875301803945942,-0.006794983384902893,-0.003209430176239642,-0.0006596304175742888,0.007332810517386095
2020-06-1909:43,51800,52000,51800,51900,84266,100,,0.004584879549894689,-0.0024706817389050376,-0.0011654341735130847,-0.0015162496544345316,-0.004941372282296794,0.0019642627162989143,-0.0027435066100157997,-0.0021540246845223624,0.0019338144677208274,-0.006940158069640013,0.012642830240421987,0.003529248721936674,-0.0014385313319595363,0.0008014779916461846,0.002932208499093216,-0.006794983384902885,-0.0016875301803945847,-0.0006596304175742825,-0.0032094301762396566,0.007332810517386101
2020-06-1715:08,52200,52300,52100,52300,130529,100,,0.004584879549894678,-0.0024706817389050567,-0.001165434173513087,-0.0015162496544345034,-0.004941372282296798,0.0019338144677208203,0.0019642627162989074,-0.0027435066100158128,-0.0021540246845223525,-0.006940158069640006,0.000801477991646174,0.012642830240421971,0.0035292487219366923,-0.0014385313319595218,0.0029322084990932164,-0.00679498338490289,-0.001687530180394589,-0.0006596304175742856,-0.003209430176239652,0.007332810517386107
2020-06-1713:54,52500,52500,52400,52400,11066,-100,,0.0045848795498946715,-0.0024706817389050597,-0.0011654341735130916,-0.001516249654434502,-0.004941372282296795,0.0019338144677208272,0.0019642627162989095,-0.002743506610015812,-0.0021540246845223538,-0.006940158069640006,0.0008014779916461859,0.012642830240421982,0.003529248721936689,-0.0014385313319595222,0.0029322084990932116,-0.0016875301803945877,-0.006794983384902895,-0.0006596304175742804,-0.003209430176239648,0.0073328105173861
2020-06-1713:23,52300,52400,52300,52300,4222,0,,0.004584879549894673,-0.0024706817389050363,-0.0011654341735130858,-0.0015162496544345301,-0.004941372282296782,0.001933814467720828,0.001964262716298908,-0.002743506610015788,-0.0021540246845223677,0.000801477991646193,-0.0069401580696400135,0.012642830240421985,0.003529248721936665,-0.0014385313319595357,0.0029322084990931994,-0.0016875301803945786,-0.0067949833849028736,-0.0006596304175742804,-0.003209430176239644,0.007332810517386082
2020-06-1212:17,52400,52400,52300,52300,21435,-100,,0.004584879549894673,-0.0024706817389050363,-0.0011654341735130858,-0.0015162496544345301,-0.004941372282296782,0.001933814467720828,0.001964262716298908,-0.002743506610015788,-0.0021540246845223677,0.000801477991646193,-0.0069401580696400135,0.012642830240421985,0.003529248721936665,-0.0014385313319595357,0.0029322084990931994,-0.0016875301803945786,-0.0067949833849028736,-0.0006596304175742804,-0.003209430176239644,0.007332810517386082
2020-06-1211:50,52500,52600,52500,52500,11079,0,,0.0037321653203569558,-0.002188658589270981,-0.0010465770725141734,0.0005134451216518627,-0.005623620352780044,0.0007677023843584668,-0.0036838791900155655,0.002068717202607347,-0.0033563177427153932,-0.0005253564876968906,-0.006334642969931374,0.010883366085832388,0.00399749771719435,-0.0017617075257860485,0.003653030316028494,0.006686913324207402,0.005179729996047811,-0.002732874293105546,-0.008451715365609512,-0.001777217878859558
