,datetime,open,high,low,close,volume,prev,sub,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16,top_17,top_18,top_19,top_20
31,2020-08-2110:14,56200,56200,56100,56200,13966,0,0,0.003089889018806709,-0.003065518420817406,0.001143024569284382,-0.0024763888519030164,0.004699464893386455,0.011404291742487891,0.004297014127032629,-0.00013502927253868853,-0.0005378327780763932,-0.004856880696124425,0.00034676051784735017,0.003950574023901782,0.0005472394053331807,-0.001608179933247516,-0.005785666847067775,0.0009770800260684423,0.0014335423507242926,0.002671925932195773,-0.006311918001370074,-0.009783391805923566
32,2020-08-2110:13,56200,56200,56100,56200,18207,0,0,0.003089889018806713,-0.003065518420817417,0.0011430245692843732,-0.0024763888519030125,0.004699464893386443,0.011404291742487879,0.004297014127032632,-0.0005378327780763965,-0.00013502927253868934,0.00034676051784735066,-0.004856880696124413,0.003950574023901774,-0.0016081799332475124,0.0005472394053331788,0.0014335423507242945,-0.005785666847067775,0.0009770800260684438,0.002671925932195772,-0.006311918001370064,-0.00978339180592355
33,2020-08-2110:06,56300,56400,56200,56400,50032,100,1,0.0027236510143990172,-0.0021962554675060385,-0.0034089610558781453,-0.006913275505922606,9.301698260017216e-05,0.012022628253863377,0.002659143526689379,0.003518745610958753,0.0012839472356679232,-0.0015245128841407539,0.0021965351339621074,-0.0016055801626236696,-9.136632349043571e-05,0.00108558849805627,0.001496339313294766,-0.0087371917156356,0.003792718126571911,0.003115927135195209,-0.0068589392490551095,-0.0026521584670065146
34,2020-08-1009:19,58200,58300,58100,58300,109306,100,1,0.0031793118321242946,-0.001571836997651,-0.0008683651620659857,-0.006102059932256852,0.0022240922018909267,0.011518275258712758,0.0004300502454773397,0.0008507453737765425,0.003208213192477015,-0.0010877158944579406,-0.007686922388671648,-0.0015509029242214054,0.0019260392807065169,-0.00814879177798474,-0.0016307979446468664,0.0006287290251171128,0.002564314902169256,0.003046272219801682,0.005066999569752972,-0.0059956500800499605
35,2020-08-0709:35,57900,58000,57800,58000,88476,100,1,0.0032287655654154672,-0.002159182588723066,-0.0007839657207661218,-0.003688920109653032,0.0027473213882187784,0.012049406182864856,0.0001285444518587209,-0.0006952593566550643,0.003269857018560839,-0.0011134312816508335,-0.007767701194266509,-0.004249959866013385,0.0009434853724219957,-0.00963284759324273,-0.00024985616717335097,5.3616085711459824e-05,0.0006222888191514112,-0.0019126620417806077,0.00347414135190464,0.005736359683816545
36,2020-08-0611:51,57500,57600,57500,57500,15122,0,0,-0.0031747937897819373,0.0001588137253772686,9.834393348594644e-06,0.002352670195437161,-0.005496184889818558,-0.010047636459625607,0.001463210116234717,0.0018845791922506173,-0.003750684077590803,0.0028826752135937056,0.0008900916717352051,0.003844972008940433,0.006244879790028996,-0.00618938766126718,0.0031437450909078146,0.01067243690534423,6.280955857747999e-05,-0.00211186744552197,0.00021594661729167796,-0.003056110155461841
37,2020-08-0411:57,57400,57400,57300,57300,8222,-100,0,-0.0031747937897819377,0.0001588137253772669,9.834393348621159e-06,0.002352670195437232,-0.005496184889818526,-0.010047636459625708,0.0014632101162346694,0.002882675213593781,0.001884579192250554,-0.003750684077590787,0.0008900916717352373,-0.0030561101554618143,0.003844972008940421,0.00624487979002895,-0.0061893876612671385,0.0031437450909077872,-0.0021118674455219907,0.010672436905344215,6.28095585775234e-05,0.00021594661729165216
38,2020-08-0311:34,57300,57300,57200,57300,8246,0,0,-0.003174793789782257,0.00015881372537755137,9.834393349235773e-06,0.002352670195437513,-0.005496184889818409,-0.010047636459626818,0.0014632101162341355,0.002882675213594617,0.001884579192249989,-0.003750684077590764,0.0008900916717352203,-0.003056110155461107,0.0038449720089404897,0.0062448797900284255,0.0031437450909073904,-0.006189387661266628,6.280955857779296e-05,-0.002111867445521904,0.01067243690534393,0.0002159466172916015
39,2020-07-3011:34,59300,59300,59200,59300,5948,0,0,0.003538162461930779,-0.0005102677371016097,-0.00044180464798636407,-0.0027512279361262683,0.0052360559483269715,0.011002547943908062,-0.0009530655573677203,-0.003929261459378098,-0.0012652791219869295,0.0037242486318319994,-0.0010218678485285713,0.0022199611285200448,-0.003731797821015196,-0.005727131501783605,-0.010326568696130895,-0.002928815380480492,0.005522966646616182,-0.0008020637186399928,0.002181860417709959,0.0009633482476817633
40,2020-07-2810:38,58400,58500,58400,58400,136235,0,0,0.0035381624619303838,-0.0005102677371012031,-0.0004418046479855544,0.005236055948327233,-0.002751227936125867,0.011002547943906664,-0.0009530655573684936,-0.003929261459376947,-0.0012652791219877806,0.003724248631832093,-0.0010218678485285693,0.002219961128521092,-0.010326568696131477,-0.00373179782101521,-0.00572713150178449,-0.002928815380481067,0.0021818604177100765,0.0009633482476816572,0.005522966646617011,-0.0008020637186395397
41,2020-07-2209:36,55200,55300,55100,55200,55281,0,0,0.003538162461930475,-0.0005102677371013164,-0.0004418046479858094,0.005236055948327151,-0.002751227936125992,0.011002547943907105,-0.0009530655573682539,-0.003929261459377284,-0.0012652791219875134,0.003724248631832068,-0.0010218678485285665,0.00221996112852078,-0.0103265686961313,-0.0037317978210152053,-0.005727131501784224,0.0021818604177100405,0.0009633482476816597,-0.0029288153804808764,0.005522966646616757,-0.0008020637186396657
42,2020-07-2109:23,54800,55000,54800,55000,220164,200,1,0.0035381624619313283,-0.0005102677371020874,-0.0004418046479874666,0.005236055948326601,-0.00275122793612682,0.011002547943909905,-0.0009530655573666886,-0.0039292614593796175,-0.0012652791219857984,0.0037242486318318562,-0.0010218678485285886,0.00221996112851867,-0.01032656869613013,-0.003731797821015193,0.0021818604177098197,-0.005727131501782405,-0.0008020637186406241,0.0009633482476818863,-0.002928815380479731,0.005522966646615104
43,2020-07-1711:08,54400,54500,54400,54400,7057,0,0,0.003538162461931033,-0.0005102677371017952,-0.0004418046479868349,0.005236055948326818,-0.002751227936126501,0.011002547943908848,-0.0009530655573672873,-0.003929261459378757,-0.0012652791219864422,0.0037242486318319256,-0.0010218678485285778,0.0022199611285194524,-0.010326568696130576,-0.0037317978210152014,0.002181860417709884,-0.0057271315017831115,0.0009633482476818179,-0.002928815380480142,-0.0008020637186402329,0.005522966646615689
44,2020-07-1610:28,54600,54600,54500,54500,3639,-100,0,0.004247666644260615,-0.0033011255349577107,4.474279176132964e-05,0.004492606766445644,-0.002447756676233683,-0.0006269055889429648,0.01313661207554922,0.0010971723573680574,-0.00711004741275907,0.00239033352737394,0.003594941238943928,-0.007122542960770516,-0.000979977298700238,-0.0008971094738431688,-0.0031486047349568685,0.0032030380402865303,0.001350096434927798,-0.00029727572891829823,-0.0013684438598685867,-0.006257420606965964
45,2020-07-1414:27,53400,53500,53400,53500,10581,100,1,0.0037769668565479156,-0.0007916154247221988,-0.005248242438810795,0.0030379235448810553,-0.003909602156486861,-0.0006034559098804902,0.014134028374465868,0.002626630217588377,-0.007461458382418186,0.0034273889770525608,0.002274588039032173,0.0006124627127814626,-0.004773809289315129,-0.0019474665791976828,0.001872216357701018,-0.004655677328405829,-0.0012343436078897552,-0.0014898493537226867,0.0013687573773440596,-0.0010154419865448876
46,2020-07-1414:19,53400,53500,53400,53500,9890,100,1,0.0037769668565478826,-0.0007916154247222027,-0.005248242438810822,0.0030379235448810852,-0.003909602156486808,-0.0006034559098804733,0.00262663021758836,0.014134028374465863,-0.00746145838241812,0.003427388977052661,0.0006124627127814427,0.002274588039032117,-0.004773809289315154,-0.0019474665791976067,0.0018722163577010356,0.0013687573773442485,-0.0012343436078898296,-0.004655677328405939,-0.0014898493537227832,-0.0010154419865449661
47,2020-07-0911:20,53200,53300,53200,53200,4458,0,0,0.0037769668565478796,-0.0007916154247222054,-0.0052482424388107535,0.003427388977052681,-0.0006034559098804466,0.003037923544881165,-0.003909602156486765,0.0026266302175882994,0.01413402837446584,-0.007461458382418092,0.0006124627127814423,0.002274588039032056,-0.004773809289315253,0.001368757377344342,-0.0019474665791975464,0.0018722163577010304,-0.0012343436078899488,-0.004655677328405959,-0.0014898493537227756,-0.0010154419865450008
48,2020-07-0810:16,53700,53700,53600,53600,9717,-100,0,0.0037769668565480006,-0.0007916154247223472,-0.005248242438810576,0.003427388977052377,-0.0006034559098804537,0.0030379235448812192,-0.003909602156486779,0.0026266302175882773,0.014134028374465948,-0.0074614583824181985,-0.0046556773284057934,0.0006124627127816472,0.002274588039032087,-0.00477380928931542,0.0013687573773439848,-0.0019474665791976234,0.0018722163577008816,-0.001234343607889957,-0.0014898493537224874,-0.0010154419865447963
49,2020-07-0709:53,54600,54700,54600,54600,31200,0,0,0.004189315196370357,-0.0030010207651505697,-0.0012712775551155175,0.0024037740735957077,8.737814019055785e-05,-0.00407641261735129,-0.0020363196948167484,0.002023061019897516,0.0125077001180711,-0.008096177716140672,0.0034586274042805545,-0.0021206070720141464,0.0018043998979456414,-0.004416109676452056,-0.006455745922775296,-0.002730700428678549,-0.0005142919616841863,-0.0006449403204354031,0.005729286796387387,0.0031600610838756053
50,2020-07-0610:43,54400,54500,54300,54300,35894,-100,0,0.00418931519637036,-0.0030010207651505567,-0.0012712775551155472,0.0024037740735957237,-0.004416109676452013,8.737814019055306e-05,-0.004076412617351296,-0.0020363196948167245,0.0020230610198975155,0.012507700118071122,-0.008096177716140681,0.0034586274042805467,-0.0021206070720141755,0.0018043998979456399,-0.006455745922775308,-0.002730700428678545,-0.0005142919616841764,-0.0006449403204354153,0.005729286796387378,0.003160061083875578
